"","HHID","Home","Urb","Comp","Child","Day","SEC","NumCars","Age","Driver","Gender","Wstat","pAge","pDriver","pGender","pWstat","Lng","Lat","PC6"
"1",5286,5684,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.38573887640247,51.501236867192,"5684SL"
"2",5290,5683,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.39120995314363,51.508006451435,"5683BB"
"3",5289,5684,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.38711803012811,51.5007457278909,"5684SJ"
"4",5292,5684,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.38958312032035,51.4960154190761,"5684HR"
"5",5287,5683,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.41707100862175,51.4926462278596,"5683RP"
"6",5291,5683,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.41090875983282,51.490874719633,"5683RZ"
"7",5293,5684,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.38646861836942,51.5034195058079,"5684GM"
"8",5296,5684,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.38904384921243,51.5074788063393,"5684AG"
"9",5295,5683,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.40434260026054,51.5092961441837,"5683JH"
"10",5297,5683,2,1,0,0,3,2,2,"true",1,2,NA,NA,NA,NA,5.41928356227726,51.4958358403955,"5683RK"
"11",6238,5684,2,2,0,0,3,2,2,"true",1,2,2,"true",0,0,5.35336763794712,51.5053492209338,"5684NH"
"12",6157,5684,2,2,0,0,3,2,2,"true",1,2,1,"true",0,0,5.39024228066443,51.5007910960199,"5684ST"
"13",6244,5683,2,2,0,0,3,2,2,"true",1,2,2,"true",0,0,5.40346372076843,51.4973163107224,"5683CR"
"14",6240,5683,2,2,0,0,3,2,2,"true",1,2,2,"true",0,0,5.41622126075178,51.495556528741,"5683RK"
"15",6249,5684,2,2,0,0,3,2,2,"true",1,2,2,"true",0,0,5.38409821880819,51.5039346962215,"5684GG"
"16",6269,5684,2,2,0,0,3,2,2,"true",1,2,3,"true",0,0,5.39758453941833,51.491368548115,"5684ZT"
"17",7241,5684,2,3,1,0,3,2,1,"true",1,2,0,"true",0,1,5.35487593064392,51.5051341230391,"5684NH"
"18",7242,5683,2,3,1,0,3,2,1,"true",1,2,0,"true",0,1,5.41507465667635,51.4959219472454,"5683RD"
"19",7235,5684,2,3,1,0,3,2,1,"true",1,2,0,"true",0,1,5.38459297785135,51.5040668950391,"5684GG"
"20",7360,5684,2,3,1,0,3,2,1,"true",1,2,1,"true",0,1,5.37733832453151,51.5047592165537,"5684GZ"
"21",7243,5684,2,3,1,0,3,2,1,"true",1,2,0,"true",0,1,5.38650388619228,51.5040807070364,"5684CR"
"22",7368,5684,2,3,1,0,3,2,1,"true",1,2,1,"true",0,1,5.3928009370042,51.5030587108692,"5684SL"
"23",7636,5683,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.40490668572761,51.5110016824779,"5683KK"
"24",7635,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.35868694797831,51.5057586297048,"5684NH"
"25",7638,5683,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.40392058689263,51.5051914021009,"5683LS"
"26",7666,5683,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.4160274792343,51.4914323236257,"5683RP"
"27",7657,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.39522322814364,51.496834158926,"5684VP"
"28",7646,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.38936613472959,51.4971418511068,"5684HB"
"29",7667,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.38482576721539,51.5005141619641,"5684SL"
"30",7670,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.39693654170976,51.4926460209874,"5684ZA"
"31",7671,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.39288124512392,51.4937851767784,"5684XW"
"32",7674,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.39626337704234,51.494680634552,"5684XV"
"33",7668,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.38548426294047,51.5096208663473,"5684AC"
"34",7677,5684,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.38496660880686,51.5005571419403,"5684SL"
"35",7678,5683,2,3,0,0,3,2,2,"true",1,2,2,"true",0,1,5.4197400479584,51.4965514938584,"5683RK"
"36",7904,5684,2,2,0,0,3,2,2,"true",1,0,2,"true",0,2,5.39352480635636,51.4947632030795,"5684XT"
"37",7907,5683,2,2,0,0,3,2,2,"true",1,0,2,"true",0,2,5.41820410801692,51.4927605682806,"5683RN"
"38",7909,5683,2,2,0,0,3,2,2,"true",1,0,2,"true",0,2,5.41884912274137,51.4959124163291,"5683RK"
"39",7957,5683,2,2,0,0,3,2,3,"true",1,0,2,"true",0,2,5.39573593170369,51.5044423098193,"5683NL"
"40",7954,5683,2,2,0,0,3,2,3,"true",1,0,2,"true",0,2,5.40916991607646,51.4911602485718,"5683RZ"
"41",7958,5684,2,2,0,0,3,2,3,"true",1,0,2,"true",0,2,5.39753616170723,51.4922326760008,"5684ZK"
"42",9748,5683,2,3,1,0,3,2,1,"true",1,2,0,"true",0,2,5.41807168971819,51.4953729913846,"5683RN"
"43",9736,5684,2,3,1,0,3,2,1,"true",1,2,0,"true",0,2,5.40041787939236,51.4975382340917,"5684TG"
