HHID,Home,Urb,Comp,Child,Day,SEC,NumCars,Age,Driver,Gender,Wstat,pAge,pDriver,pGender,pWstat
5286,5684,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5290,5683,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5289,5684,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5292,5684,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5287,5683,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5291,5683,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5293,5684,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5296,5684,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5295,5683,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
5297,5683,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
6238,5684,2,2,0,0,3,2,2,true,1,2,2,true,0,0
6157,5684,2,2,0,0,3,2,2,true,1,2,1,true,0,0
6244,5683,2,2,0,0,3,2,2,true,1,2,2,true,0,0
6240,5683,2,2,0,0,3,2,2,true,1,2,2,true,0,0
6249,5684,2,2,0,0,3,2,2,true,1,2,2,true,0,0
6269,5684,2,2,0,0,3,2,2,true,1,2,3,true,0,0
7241,5684,2,3,1,0,3,2,1,true,1,2,0,true,0,1
7242,5683,2,3,1,0,3,2,1,true,1,2,0,true,0,1
7235,5684,2,3,1,0,3,2,1,true,1,2,0,true,0,1
7360,5684,2,3,1,0,3,2,1,true,1,2,1,true,0,1
7243,5684,2,3,1,0,3,2,1,true,1,2,0,true,0,1
7368,5684,2,3,1,0,3,2,1,true,1,2,1,true,0,1
7636,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7635,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7638,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7666,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7657,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7646,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7667,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7670,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7671,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7674,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7668,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7677,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7678,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,1
7904,5684,2,2,0,0,3,2,2,true,1,0,2,true,0,2
7907,5683,2,2,0,0,3,2,2,true,1,0,2,true,0,2
7909,5683,2,2,0,0,3,2,2,true,1,0,2,true,0,2
7957,5683,2,2,0,0,3,2,3,true,1,0,2,true,0,2
7954,5683,2,2,0,0,3,2,3,true,1,0,2,true,0,2
7958,5684,2,2,0,0,3,2,3,true,1,0,2,true,0,2
9748,5683,2,3,1,0,3,2,1,true,1,2,0,true,0,2
