"","HHID","Home","MemID","EpisodeID","OrigLoc","DestLoc","LeaveTime","TravelTime","BeginTime","EndTime","ActivityType","Mode","With","Charging","SchedID","DestLng","DestLat","DestPC6","OrigLng","OrigLat","OrigPC6"
"1",5286,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","08:28+0","Home","Missing","Missing","NoCharging","5286-0-0",5.37573315864177,51.5050262830628,"5684GS",NA,NA,"Home"
"2",5286,5684,0,1,5684,5684,"08:28+0",8,"08:36+0","17:17+0","Work","Car","Missing","NoCharging","5286-0-1",5.40684994101548,51.4886448518394,"5684PX",5.37573315864177,51.5050262830628,"5684GS"
"3",5286,5684,0,2,5684,5684,"17:17+0",6,"17:23+0","03:00+1","Home","Car","Missing","PrivateCharging","5286-0-2",5.38548092747727,51.5051620056501,"5684CX",5.40684994101548,51.4886448518394,"5684PX"
"4",5290,5683,0,0,5683,5683,"03:00+0",0,"03:00+0","10:27+0","Home","Missing","Missing","PrivateCharging","5290-0-0",5.40408501126836,51.5065398114316,"5683LN",NA,NA,"Home"
"5",5290,5683,0,1,5683,5466,"10:27+0",20,"10:47+0","18:24+0","Work","Car","Missing","SemiPublicCharging","5290-0-1",5.51685981013972,51.6017801173649,"5466RC",5.40408501126836,51.5065398114316,"5683LN"
"6",5290,5683,0,2,5466,5683,"18:24+0",20,"18:44+0","03:00+1","Home","Car","Missing","NoCharging","5290-0-2",5.41699606652413,51.4962582761888,"5683PG",5.51685981013972,51.6017801173649,"5466RC"
"7",5289,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","06:23+0","Home","Missing","Missing","PrivateCharging","5289-0-0",5.37521697927275,51.5063712013905,"5684GS",NA,NA,"Home"
"8",5289,5684,0,1,5684,5681,"06:23+0",5,"06:28+0","15:48+0","Work","Car","Missing","NoCharging","5289-0-1",5.43296060891674,51.5209957914973,"5681RE",5.37521697927275,51.5063712013905,"5684GS"
"9",5289,5684,0,2,5681,5684,"15:48+0",5,"15:53+0","03:00+1","Home","Car","Missing","PrivateCharging","5289-0-2",5.39193152657747,51.5050726198631,"5684BH",5.43296060891674,51.5209957914973,"5681RE"
"10",5292,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","07:58+0","Home","Missing","Missing","PrivateCharging","5292-0-0",5.386479818365,51.5094570590284,"5684AB",NA,NA,"Home"
"11",5292,5684,0,1,5684,5684,"07:58+0",7,"08:05+0","10:35+0","Work","Car","Missing","NoCharging","5292-0-1",5.392044832118,51.4922695112795,"5684PB",5.386479818365,51.5094570590284,"5684AB"
"12",5292,5684,0,2,5684,5684,"10:35+0",6,"10:41+0","03:00+1","Home","Car","Missing","PrivateCharging","5292-0-2",5.37871188877523,51.504946928153,"5684GZ",5.392044832118,51.4922695112795,"5684PB"
"13",5287,5683,0,0,5683,5683,"03:00+0",0,"03:00+0","08:04+0","Home","Missing","Missing","NoCharging","5287-0-0",5.39832208278094,51.5071057419919,"5683ML",NA,NA,"Home"
"14",5287,5683,0,1,5683,5682,"08:04+0",3,"08:07+0","17:27+0","Work","Car","Missing","NoCharging","5287-0-1",5.3863656325135,51.5217460223122,"5682PK",5.39832208278094,51.5071057419919,"5683ML"
"15",5287,5683,0,2,5682,5682,"17:37+0",5,"17:42+0","17:51+0","Leisure","Car","Missing","NoCharging","5287-0-2",5.38701484464668,51.5286327237465,"5682PL",5.3863656325135,51.5217460223122,"5682PK"
"16",5287,5683,0,3,5682,5683,"18:24+0",3,"18:27+0","22:33+0","Leisure","Car","Missing","SemiPublicCharging","5287-0-3",5.39481121164365,51.5107812827476,"5683AK",5.38701484464668,51.5286327237465,"5682PL"
"17",5287,5683,0,4,5683,5683,"22:33+0",6,"22:39+0","03:00+1","Home","Car","Missing","NoCharging","5287-0-4",5.39677350885094,51.5056675843035,"5683NE",5.39481121164365,51.5107812827476,"5683AK"
"18",5291,5683,0,0,5683,5683,"03:00+0",0,"03:00+0","07:53+0","Home","Missing","Missing","NoCharging","5291-0-0",5.41509563523854,51.4956972984628,"5683PH",NA,NA,"Home"
"19",5291,5683,0,1,5683,5683,"07:53+0",6,"07:59+0","10:37+0","Work","Car","Missing","NoCharging","5291-0-1",5.41233808654432,51.5027316124869,"5683PK",5.41509563523854,51.4956972984628,"5683PH"
"20",5291,5683,0,2,5683,5683,"10:41+0",5,"10:46+0","12:28+0","Business","Car","Missing","NoCharging","5291-0-2",5.40399825089936,51.5037135260306,"5683CK",5.41233808654432,51.5027316124869,"5683PK"
"21",5291,5683,0,3,5683,5683,"12:28+0",8,"12:36+0","16:44+0","Work","Car","Missing","PublicCharging","5291-0-3",5.40763137774207,51.5032769333239,"5683PN",5.40399825089936,51.5037135260306,"5683CK"
"22",5291,5683,0,4,5683,5683,"17:00+0",8,"17:08+0","17:24+0","Groceries","Car","Missing","NoCharging","5291-0-4",5.39143826344358,51.5097213838358,"5683AH",5.40763137774207,51.5032769333239,"5683PN"
"23",5291,5683,0,5,5683,5683,"17:24+0",7,"17:31+0","03:00+1","Home","Car","Missing","NoCharging","5291-0-5",5.40278407155016,51.5121471802592,"5683EJ",5.39143826344358,51.5097213838358,"5683AH"
"24",5296,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","16:26+0","Home","Missing","Missing","NoCharging","5296-0-0",5.38522413504186,51.5066180301284,"5684ED",NA,NA,"Home"
"25",5296,5684,0,1,5684,5623,"16:26+0",13,"16:39+0","19:17+0","Social","Car","Missing","NoCharging","5296-0-1",5.47195143442093,51.454133409451,"5623DS",5.38522413504186,51.5066180301284,"5684ED"
"26",5296,5684,0,2,5623,5684,"19:17+0",13,"19:30+0","03:00+1","Home","Car","Missing","NoCharging","5296-0-2",5.38846038497652,51.5033266861826,"5684CG",5.47195143442093,51.454133409451,"5623DS"
"27",5293,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","12:09+0","Home","Missing","Missing","NoCharging","5293-0-0",5.38822847478767,51.5094464217338,"5684AE",NA,NA,"Home"
"28",5293,5684,0,1,5684,5684,"12:09+0",8,"12:17+0","12:22+0","Other","Car","Missing","SemiPublicCharging","5293-0-1",5.37587670995851,51.5084122629548,"5684NB",5.38822847478767,51.5094464217338,"5684AE"
"29",5293,5684,0,2,5684,1473,"12:22+0",98,"14:00+0","15:14+0","Leisure","Car","Missing","NoCharging","5293-0-2",5.0508505339257,52.5578880427423,"1473PP",5.37587670995851,51.5084122629548,"5684NB"
"30",5293,5684,0,3,1473,5684,"15:14+0",98,"16:52+0","03:00+1","Home","Car","Missing","NoCharging","5293-0-3",5.39637375666051,51.5023112352213,"5684TG",5.0508505339257,52.5578880427423,"1473PP"
"31",5295,5683,0,0,5683,5683,"03:00+0",0,"03:00+0","07:03+0","Home","Missing","Missing","FastCharging","5295-0-0",5.40780044485812,51.5075521141202,"5683KW",NA,NA,"Home"
"32",5295,5683,0,1,5683,5683,"07:03+0",24,"07:27+0","10:01+0","Work","Walking or Biking","Missing","NoCharging","5295-0-1",5.40218578581433,51.5039249934757,"5683CG",5.40780044485812,51.5075521141202,"5683KW"
"33",5295,5683,0,2,5683,5682,"10:16+0",9,"10:25+0","10:42+0","Leisure","Walking or Biking","Missing","NoCharging","5295-0-2",5.37623033325691,51.5285197810209,"5682PL",5.40218578581433,51.5039249934757,"5683CG"
"34",5295,5683,0,3,5682,5683,"10:42+0",9,"10:51+0","10:56+0","Home","Walking or Biking","Missing","NoCharging","5295-0-3",5.41720364594,51.4950081909092,"5683RK",5.37623033325691,51.5285197810209,"5682PL"
"35",5295,5683,0,4,5683,5683,"11:26+0",8,"11:34+0","14:02+0","Work","Walking or Biking","Missing","NoCharging","5295-0-4",5.40446404295095,51.4976572838059,"5683CP",5.41720364594,51.4950081909092,"5683RK"
"36",5295,5683,0,5,5683,5683,"14:02+0",9,"14:11+0","03:00+1","Home","Walking or Biking","Missing","NoCharging","5295-0-5",5.41630474323539,51.4982719438307,"5683PJ",5.40446404295095,51.4976572838059,"5683CP"
"37",5297,5683,0,0,5683,5683,"03:00+0",0,"03:00+0","08:19+0","Home","Missing","Missing","NoCharging","5297-0-0",5.40941698166419,51.4973890102471,"5683RZ",NA,NA,"Home"
"38",5297,5683,0,1,5683,5298,"08:19+0",10,"08:29+0","16:11+0","Work","Car","Missing","SemiPublicCharging","5297-0-1",5.37268871806428,51.5601244003017,"5298MH",5.40941698166419,51.4973890102471,"5683RZ"
"39",5297,5683,0,2,5298,5683,"16:11+0",10,"16:21+0","03:00+1","Home","Car","Missing","NoCharging","5297-0-2",5.41651036925306,51.4994654280966,"5683PJ",5.37268871806428,51.5601244003017,"5298MH"
"40",6238,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","07:46+0","Home","Missing","Missing","NoCharging","6238-0-0",5.39440836723691,51.4967924595044,"5684VL",NA,NA,"Home"
"41",6238,5684,0,1,5684,5684,"07:46+0",6,"07:52+0","16:28+0","Work","Car","Missing","SemiPublicCharging","6238-0-1",5.40719840597393,51.4885817606677,"5684PX",5.39440836723691,51.4967924595044,"5684VL"
"42",6238,5684,0,2,5684,5684,"16:28+0",6,"16:34+0","03:00+1","Home","Car","Missing","NoCharging","6238-0-2",5.35440030132592,51.5049303268867,"5684NH",5.40719840597393,51.4885817606677,"5684PX"
"43",6238,5684,1,0,5684,5684,"03:00+0",0,"03:00+0","03:00+1","Home","Missing","Missing","PrivateCharging","6238-1-0",5.39184832430091,51.5058566171787,"5684BD",NA,NA,"Home"
"44",6157,5684,0,0,5684,5684,"03:00+0",0,"03:00+0","03:00+1","Home","Missing","Missing","NoCharging","6157-0-0",5.39177973375946,51.4930731718612,"5684JE",NA,NA,"Home"
"45",6157,5684,1,0,5684,5684,"03:00+0",0,"03:00+0","14:49+0","Home","Missing","Missing","PrivateCharging","6157-1-0",5.38221030763884,51.5007153224085,"5684SL",NA,NA,"Home"
"46",6157,5684,1,1,5684,5681,"14:49+0",15,"15:04+0","15:14+0","Groceries","Walking or Biking","Missing","NoCharging","6157-1-1",5.40913713122452,51.5230433964227,"5681PR",5.38221030763884,51.5007153224085,"5684SL"
"47",6157,5684,1,2,5681,5682,"15:17+0",10,"15:27+0","15:43+0","Social","Walking or Biking","Missing","NoCharging","6157-1-2",5.36734184555228,51.5412664448698,"5682PD",5.40913713122452,51.5230433964227,"5681PR"
