HHID,Home,MemID,EpisodeID,OrigLoc,DestLoc,LeaveTime,TravelTime,BeginTime,EndTime,ActivityType,Mode,With,Charging
5286,5684,0,0,5684,5684,03:00+0,0,03:00+0,08:28+0,Home,Missing,Missing,NoCharging
5286,5684,0,1,5684,5684,08:28+0,8,08:36+0,17:17+0,Work,Car,Missing,NoCharging
5286,5684,0,2,5684,5684,17:17+0,6,17:23+0,03:00+1,Home,Car,Missing,PrivateCharging
5290,5683,0,0,5683,5683,03:00+0,0,03:00+0,10:27+0,Home,Missing,Missing,PrivateCharging
5290,5683,0,1,5683,5466,10:27+0,20,10:47+0,18:24+0,Work,Car,Missing,SemiPublicCharging
5290,5683,0,2,5466,5683,18:24+0,20,18:44+0,03:00+1,Home,Car,Missing,NoCharging
5289,5684,0,0,5684,5684,03:00+0,0,03:00+0,06:23+0,Home,Missing,Missing,PrivateCharging
5289,5684,0,1,5684,5681,06:23+0,5,06:28+0,15:48+0,Work,Car,Missing,NoCharging
5289,5684,0,2,5681,5684,15:48+0,5,15:53+0,03:00+1,Home,Car,Missing,PrivateCharging
5292,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:58+0,Home,Missing,Missing,PrivateCharging
5292,5684,0,1,5684,5684,07:58+0,7,08:05+0,10:35+0,Work,Car,Missing,NoCharging
5292,5684,0,2,5684,5684,10:35+0,6,10:41+0,03:00+1,Home,Car,Missing,PrivateCharging
5287,5683,0,0,5683,5683,03:00+0,0,03:00+0,08:04+0,Home,Missing,Missing,NoCharging
5287,5683,0,1,5683,5682,08:04+0,3,08:07+0,17:27+0,Work,Car,Missing,NoCharging
5287,5683,0,2,5682,5682,17:37+0,5,17:42+0,17:51+0,Leisure,Car,Missing,NoCharging
5287,5683,0,3,5682,5683,18:24+0,3,18:27+0,22:33+0,Leisure,Car,Missing,SemiPublicCharging
5287,5683,0,4,5683,5683,22:33+0,6,22:39+0,03:00+1,Home,Car,Missing,NoCharging
5291,5683,0,0,5683,5683,03:00+0,0,03:00+0,07:53+0,Home,Missing,Missing,NoCharging
5291,5683,0,1,5683,5683,07:53+0,6,07:59+0,10:37+0,Work,Car,Missing,NoCharging
5291,5683,0,2,5683,5683,10:41+0,5,10:46+0,12:28+0,Business,Car,Missing,NoCharging
5291,5683,0,3,5683,5683,12:28+0,8,12:36+0,16:44+0,Work,Car,Missing,PublicCharging
5291,5683,0,4,5683,5683,17:00+0,8,17:08+0,17:24+0,Groceries,Car,Missing,NoCharging
5291,5683,0,5,5683,5683,17:24+0,7,17:31+0,03:00+1,Home,Car,Missing,NoCharging
5296,5684,0,0,5684,5684,03:00+0,0,03:00+0,16:26+0,Home,Missing,Missing,NoCharging
5296,5684,0,1,5684,5623,16:26+0,13,16:39+0,19:17+0,Social,Car,Missing,NoCharging
5296,5684,0,2,5623,5684,19:17+0,13,19:30+0,03:00+1,Home,Car,Missing,NoCharging
5293,5684,0,0,5684,5684,03:00+0,0,03:00+0,12:09+0,Home,Missing,Missing,NoCharging
5293,5684,0,1,5684,5684,12:09+0,8,12:17+0,12:22+0,Other,Car,Missing,SemiPublicCharging
5293,5684,0,2,5684,1473,12:22+0,98,14:00+0,15:14+0,Leisure,Car,Missing,NoCharging
5293,5684,0,3,1473,5684,15:14+0,98,16:52+0,03:00+1,Home,Car,Missing,NoCharging
5295,5683,0,0,5683,5683,03:00+0,0,03:00+0,07:03+0,Home,Missing,Missing,FastCharging
5295,5683,0,1,5683,5683,07:03+0,24,07:27+0,10:01+0,Work,Walking or Biking,Missing,NoCharging
5295,5683,0,2,5683,5682,10:16+0,9,10:25+0,10:42+0,Leisure,Walking or Biking,Missing,NoCharging
5295,5683,0,3,5682,5683,10:42+0,9,10:51+0,10:56+0,Home,Walking or Biking,Missing,NoCharging
5295,5683,0,4,5683,5683,11:26+0,8,11:34+0,14:02+0,Work,Walking or Biking,Missing,NoCharging
5295,5683,0,5,5683,5683,14:02+0,9,14:11+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
5297,5683,0,0,5683,5683,03:00+0,0,03:00+0,08:19+0,Home,Missing,Missing,NoCharging
5297,5683,0,1,5683,5298,08:19+0,10,08:29+0,16:11+0,Work,Car,Missing,SemiPublicCharging
5297,5683,0,2,5298,5683,16:11+0,10,16:21+0,03:00+1,Home,Car,Missing,NoCharging
6238,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:46+0,Home,Missing,Missing,NoCharging
6238,5684,0,1,5684,5684,07:46+0,6,07:52+0,16:28+0,Work,Car,Missing,SemiPublicCharging
6238,5684,0,2,5684,5684,16:28+0,6,16:34+0,03:00+1,Home,Car,Missing,NoCharging
6238,5684,1,0,5684,5684,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,PrivateCharging
6157,5684,0,0,5684,5684,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,NoCharging
6157,5684,1,0,5684,5684,03:00+0,0,03:00+0,14:49+0,Home,Missing,Missing,PrivateCharging
6157,5684,1,1,5684,5681,14:49+0,15,15:04+0,15:14+0,Groceries,Walking or Biking,Missing,NoCharging
6157,5684,1,2,5681,5682,15:17+0,10,15:27+0,15:43+0,Social,Walking or Biking,Missing,NoCharging
6157,5684,1,3,5682,5684,15:43+0,11,15:54+0,16:08+0,Groceries,Walking or Biking,Missing,NoCharging
6157,5684,1,4,5684,5684,16:08+0,29,16:37+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
6244,5683,0,0,5683,5683,03:00+0,0,03:00+0,07:47+0,Home,Missing,Missing,PrivateCharging
6244,5683,0,1,5683,5683,07:47+0,6,07:53+0,16:50+0,Work,Car,Missing,SemiPublicCharging
6244,5683,0,2,5683,5683,16:50+0,6,16:56+0,03:00+1,Home,Car,Missing,PrivateCharging
6244,5683,1,0,5683,5683,03:00+0,0,03:00+0,08:43+0,Home,Missing,Missing,NoCharging
6244,5683,1,1,5683,5683,08:43+0,6,08:49+0,16:48+0,Work,Car,Missing,FastCharging
6244,5683,1,2,5683,5481,16:53+0,22,17:15+0,17:48+0,Groceries,Car,Missing,NoCharging
6244,5683,1,3,5481,5683,17:48+0,22,18:10+0,03:00+1,Home,Car,Missing,PrivateCharging
6240,5683,0,0,5683,5683,03:00+0,0,03:00+0,08:09+0,Home,Missing,Missing,NoCharging
6240,5683,0,1,5683,5281,08:09+0,14,08:23+0,12:29+0,Work,Car,Missing,NoCharging
6240,5683,0,2,5281,5683,12:29+0,14,12:43+0,14:13+0,Home,Car,Missing,NoCharging
6240,5683,0,3,5683,3142,14:13+0,80,15:33+0,17:40+0,NonGroc,Car as Passenger,Missing,PublicCharging
6240,5683,0,4,3142,5683,17:40+0,80,19:00+0,03:00+1,Home,Car as Passenger,Missing,PrivateCharging
6240,5683,1,0,5683,5683,03:00+0,0,03:00+0,14:16+0,Home,Missing,Missing,NoCharging
6240,5683,1,1,5683,5683,14:16+0,29,14:45+0,22:14+0,Touring,Walking or Biking,Missing,NoCharging
6240,5683,1,2,5683,5683,22:14+0,23,22:37+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
6249,5684,0,0,5684,5684,03:00+0,0,03:00+0,09:39+0,Home,Missing,Missing,PrivateCharging
6249,5684,0,1,5684,5684,09:39+0,6,09:45+0,14:04+0,Work,Car,Missing,NoCharging
6249,5684,0,2,5684,5684,14:04+0,9,14:13+0,03:00+1,Home,Car,Missing,PrivateCharging
6249,5684,1,0,5684,5684,03:00+0,0,03:00+0,16:50+0,Home,Missing,Missing,PrivateCharging
6249,5684,1,1,5684,5683,16:50+0,1,16:51+0,21:26+0,Leisure,Car,Missing,SemiPublicCharging
6249,5684,1,2,5683,5684,21:26+0,1,21:27+0,03:00+1,Home,Car,Missing,PrivateCharging
6269,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:20+0,Home,Missing,Missing,PrivateCharging
6269,5684,0,1,5684,5503,07:20+0,14,07:34+0,09:53+0,Work,Car,Missing,NoCharging
6269,5684,0,2,5503,5503,09:57+0,5,10:02+0,10:32+0,Business,Car,Missing,NoCharging
6269,5684,0,3,5503,5683,10:32+0,15,10:47+0,10:52+0,Business,Car,Missing,NoCharging
6269,5684,0,4,5683,5502,10:52+0,12,11:04+0,14:02+0,Work,Car,Missing,NoCharging
6269,5684,0,5,5502,5502,14:05+0,5,14:10+0,14:15+0,Business,Car,Missing,PublicCharging
6269,5684,0,6,5502,5502,14:15+0,5,14:20+0,14:55+0,Business,Car,Missing,NoCharging
6269,5684,0,7,5502,5684,14:56+0,11,15:07+0,17:25+0,Home,Car,Missing,PrivateCharging
6269,5684,0,8,5684,5683,17:34+0,3,17:37+0,20:45+0,Leisure,Walking or Biking,Missing,NoCharging
6269,5684,0,9,5683,5684,20:45+0,3,20:48+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
6269,5684,1,0,5684,5684,03:00+0,0,03:00+0,15:33+0,Home,Missing,Missing,PrivateCharging
6269,5684,1,1,5684,5684,15:33+0,8,15:41+0,17:18+0,Social,Car,Missing,PublicCharging
